time,I,nv,c1,c2,ar,V_tot,kind,net_type
0,5.0,100,0.0,0.0,76,901,mean,static
0,0.0,100,0.0,0.0,38,37.309,mean,static
1,6.81,100,141.875,141.875,76,901,mean,static
1,1.79,100,20.054,20.054,38,37.309,mean,static
2,9.88,100,181.062,181.062,76,901,mean,static
2,3.9,100,28.063,28.063,38,37.309,mean,static
3,13.09,100,198.5,198.5,76,901,mean,static
3,6.23,100,29.996,29.996,38,37.309,mean,static
4,16.66,100,208.031,208.031,76,901,mean,static
4,9.75,100,32.76,32.76,38,37.309,mean,static
5,19.81,100,211.031,211.031,76,901,mean,static
5,11.95,100,37.112,37.112,38,37.309,mean,static
6,22.06,100,208.781,208.781,76,901,mean,static
6,13.64,100,33.025,33.025,38,37.309,mean,static
7,25.06,100,200.375,200.375,76,901,mean,static
7,15.56,100,33.595,33.595,38,37.309,mean,static
8,27.19,100,190.594,190.594,76,901,mean,static
8,16.58,100,34.336,34.336,38,37.309,mean,static
9,27.84,100,183.25,183.25,76,901,mean,static
9,17.14,100,34.393,34.393,38,37.309,mean,static
10,27.97,100,174.188,174.188,76,901,mean,static
10,16.63,100,30.879,30.879,38,37.309,mean,static
11,28.34,100,165.312,165.312,76,901,mean,static
11,16.29,100,30.617,30.617,38,37.309,mean,static
12,28.34,100,152.125,152.125,76,901,mean,static
12,15.78,100,25.816,25.816,38,37.309,mean,static
13,27.0,100,143.469,143.469,76,901,mean,static
13,14.7,100,27.21,27.21,38,37.309,mean,static
14,25.59,100,134.531,134.531,76,901,mean,static
14,13.7,100,28.377,28.377,38,37.309,mean,static
15,24.44,100,123.5,123.5,76,901,mean,static
15,13.43,100,26.18,26.18,38,37.309,mean,static
16,23.06,100,118.938,118.938,76,901,mean,static
16,12.71,100,28.53,28.53,38,37.309,mean,static
17,20.94,100,113.75,113.75,76,901,mean,static
17,11.64,100,25.469,25.469,38,37.309,mean,static
18,19.47,100,104.656,104.656,76,901,mean,static
18,10.89,100,23.09,23.09,38,37.309,mean,static
19,17.16,100,100.594,100.594,76,901,mean,static
19,9.97,100,22.872,22.872,38,37.309,mean,static
20,15.59,100,95.031,95.031,76,901,mean,static
20,8.51,100,22.072,22.072,38,37.309,mean,static
21,14.5,100,87.719,87.719,76,901,mean,static
21,8.02,100,20.38,20.38,38,37.309,mean,static
22,12.84,100,86.156,86.156,76,901,mean,static
22,6.93,100,21.005,21.005,38,37.309,mean,static
23,11.66,100,83.469,83.469,76,901,mean,static
23,6.1,100,21.855,21.855,38,37.309,mean,static
24,9.91,100,77.062,77.062,76,901,mean,static
24,5.1,100,20.128,20.128,38,37.309,mean,static
25,8.62,100,75.531,75.531,76,901,mean,static
25,4.7,100,19.835,19.835,38,37.309,mean,static
26,7.41,100,72.812,72.812,76,901,mean,static
26,4.62,100,21.792,21.792,38,37.309,mean,static
0,5.0,100,0.0,0.0,68,863,mean,static
0,0.0,100,0.0,0.0,30,33.552,mean,static
1,6.56,100,92.781,92.781,68,863,mean,static
1,1.58,100,20.124,20.124,30,33.552,mean,static
2,8.5,100,126.094,126.094,68,863,mean,static
2,2.49,100,23.216,23.216,30,33.552,mean,static
3,10.84,100,142.531,142.531,68,863,mean,static
3,4.19,100,24.491,24.491,30,33.552,mean,static
4,13.22,100,156.562,156.562,68,863,mean,static
4,5.22,100,23.542,23.542,30,33.552,mean,static
5,15.25,100,157.562,157.562,68,863,mean,static
5,6.17,100,18.547,18.547,30,33.552,mean,static
6,16.66,100,159.062,159.062,68,863,mean,static
6,7.52,100,20.681,20.681,30,33.552,mean,static
7,18.41,100,154.188,154.188,68,863,mean,static
7,8.91,100,23.429,23.429,30,33.552,mean,static
8,20.41,100,153.281,153.281,68,863,mean,static
8,10.3,100,20.64,20.64,30,33.552,mean,static
9,21.81,100,148.5,148.5,68,863,mean,static
9,11.61,100,18.695,18.695,30,33.552,mean,static
10,22.59,100,142.406,142.406,68,863,mean,static
10,12.04,100,17.148,17.148,30,33.552,mean,static
11,22.38,100,137.562,137.562,68,863,mean,static
11,11.81,100,17.794,17.794,30,33.552,mean,static
12,22.38,100,129.562,129.562,68,863,mean,static
12,11.7,100,17.333,17.333,30,33.552,mean,static
13,21.75,100,127.25,127.25,68,863,mean,static
13,12.12,100,16.472,16.472,30,33.552,mean,static
14,21.56,100,122.844,122.844,68,863,mean,static
14,12.55,100,18.631,18.631,30,33.552,mean,static
15,21.0,100,115.188,115.188,68,863,mean,static
15,12.86,100,15.418,15.418,30,33.552,mean,static
16,19.62,100,109.5,109.5,68,863,mean,static
16,12.05,100,14.661,14.661,30,33.552,mean,static
17,19.06,100,106.812,106.812,68,863,mean,static
17,11.39,100,14.17,14.17,30,33.552,mean,static
18,17.78,100,102.781,102.781,68,863,mean,static
18,10.9,100,13.242,13.242,30,33.552,mean,static
19,16.44,100,99.438,99.438,68,863,mean,static
19,10.31,100,14.487,14.487,30,33.552,mean,static
0,5.0,200,0.0,0.0,45,870,mean,static
0,0.0,200,0.0,0.0,33,125.83,mean,static
1,5.97,200,229.406,229.406,45,870,mean,static
1,1.29,200,24.809,24.809,33,125.83,mean,static
2,6.44,200,303.562,303.562,45,870,mean,static
2,2.66,200,24.147,24.147,33,125.83,mean,static
3,7.56,200,327.312,327.312,45,870,mean,static
3,3.24,200,25.469,25.469,33,125.83,mean,static
4,9.22,200,336.969,336.969,45,870,mean,static
4,5.28,200,32.125,32.125,33,125.83,mean,static
5,9.78,200,336.781,336.781,45,870,mean,static
5,6.49,200,29.624,29.624,33,125.83,mean,static
0,5.0,200,0.0,0.0,42,798,mean,static
0,0.0,200,0.0,0.0,35,86.07,mean,static
1,5.41,200,143.031,143.031,42,798,mean,static
