time,I,nv,c1,c2,ar,V_tot,kind,net_type
0,5.0,100,0.0,0.0,68,895,mean,static
0,0.0,100,0.0,0.0,31,50.352,std,static
1,6.41,100,141.25,141.25,68,895,mean,static
1,2.29,100,18.276,18.276,31,50.352,std,static
2,8.66,100,179.594,179.594,68,895,mean,static
2,3.92,100,27.799,27.799,31,50.352,std,static
3,11.5,100,198.531,198.531,68,895,mean,static
3,5.33,100,34.867,34.867,31,50.352,std,static
4,15.0,100,201.344,201.344,68,895,mean,static
4,6.5,100,35.762,35.762,31,50.352,std,static
5,16.91,100,211.688,211.688,68,895,mean,static
5,8.15,100,35.16,35.16,31,50.352,std,static
6,19.84,100,205.5,205.5,68,895,mean,static
6,9.68,100,38.353,38.353,31,50.352,std,static
7,23.09,100,195.125,195.125,68,895,mean,static
7,11.97,100,35.038,35.038,31,50.352,std,static
8,24.78,100,184.438,184.438,68,895,mean,static
8,12.79,100,35.573,35.573,31,50.352,std,static
9,24.88,100,178.469,178.469,68,895,mean,static
9,12.88,100,33.147,33.147,31,50.352,std,static
10,25.31,100,168.656,168.656,68,895,mean,static
10,13.66,100,31.072,31.072,31,50.352,std,static
11,24.88,100,156.156,156.156,68,895,mean,static
11,14.23,100,30.079,30.079,31,50.352,std,static
0,5.0,100,0.0,0.0,67,861,mean,dynamic
0,0.0,100,0.0,0.0,35,32.918,std,dynamic
1,6.25,100,98.594,98.594,67,861,mean,dynamic
1,1.56,100,18.924,18.924,35,32.918,std,dynamic
2,7.47,100,133.375,133.375,67,861,mean,dynamic
2,3.12,100,16.946,16.946,35,32.918,std,dynamic
3,9.28,100,149.688,149.688,67,861,mean,dynamic
3,4.5,100,17.238,17.238,35,32.918,std,dynamic
4,11.5,100,155.625,155.625,67,861,mean,dynamic
4,6.39,100,18.306,18.306,35,32.918,std,dynamic
5,13.94,100,162.625,162.625,67,861,mean,dynamic
5,8.57,100,15.902,15.902,35,32.918,std,dynamic
6,15.25,100,159.25,159.25,67,861,mean,dynamic
6,9.87,100,17.925,17.925,35,32.918,std,dynamic
7,17.25,100,155.219,155.219,67,861,mean,dynamic
7,11.18,100,19.342,19.342,35,32.918,std,dynamic
8,19.12,100,150.656,150.656,67,861,mean,dynamic
8,12.75,100,17.208,17.208,35,32.918,std,dynamic
9,20.5,100,146.906,146.906,67,861,mean,dynamic
9,13.08,100,18.506,18.506,35,32.918,std,dynamic
10,21.28,100,140.812,140.812,67,861,mean,dynamic
10,12.88,100,16.936,16.936,35,32.918,std,dynamic
11,21.69,100,138.25,138.25,67,861,mean,dynamic
11,13.73,100,18.133,18.133,35,32.918,std,dynamic
12,21.72,100,128.781,128.781,67,861,mean,dynamic
12,14.39,100,15.408,15.408,35,32.918,std,dynamic
13,22.16,100,124.812,124.812,67,861,mean,dynamic
13,14.16,100,16.603,16.603,35,32.918,std,dynamic
14,22.34,100,117.438,117.438,67,861,mean,dynamic
14,14.04,100,14.376,14.376,35,32.918,std,dynamic
15,21.81,100,119.25,119.25,67,861,mean,dynamic
15,13.66,100,15.182,15.182,35,32.918,std,dynamic
16,20.34,100,111.375,111.375,67,861,mean,dynamic
16,13.28,100,15.085,15.085,35,32.918,std,dynamic
17,19.19,100,104.094,104.094,67,861,mean,dynamic
17,11.93,100,14.034,14.034,35,32.918,std,dynamic
18,17.88,100,99.219,99.219,67,861,mean,dynamic
18,10.98,100,14.62,14.62,35,32.918,std,dynamic
19,16.22,100,97.844,97.844,67,861,mean,dynamic
19,10.05,100,12.418,12.418,35,32.918,std,dynamic
20,14.88,100,93.406,93.406,67,861,mean,dynamic
20,9.32,100,14.562,14.562,35,32.918,std,dynamic
0,5.0,200,0.0,0.0,53,881,mean,static
0,0.0,200,0.0,0.0,44,50.832,std,static
1,6.0,200,237.062,237.062,53,881,mean,static
1,1.39,200,19.687,19.687,44,50.832,std,static
2,6.94,200,306.812,306.812,53,881,mean,static
2,3.16,200,21.892,21.892,44,50.832,std,static
3,8.44,200,332.031,332.031,53,881,mean,static
3,4.38,200,26.696,26.696,44,50.832,std,static
4,9.41,200,343.656,343.656,53,881,mean,static
4,6.38,200,26.601,26.601,44,50.832,std,static
5,11.12,200,343.906,343.906,53,881,mean,static
5,8.24,200,27.247,27.247,44,50.832,std,static
6,12.69,200,335.156,335.156,53,881,mean,static
6,10.08,200,30.122,30.122,44,50.832,std,static
7,14.25,200,323.531,323.531,53,881,mean,static
7,12.47,200,22.961,22.961,44,50.832,std,static
8,15.97,200,306.375,306.375,53,881,mean,static
8,14.96,200,24.126,24.126,44,50.832,std,static
9,17.22,200,288.5,288.5,53,881,mean,static
9,16.23,200,24.402,24.402,44,50.832,std,static
10,17.97,200,269.688,269.688,53,881,mean,static
10,16.5,200,24.151,24.151,44,50.832,std,static
11,18.06,200,254.406,254.406,53,881,mean,static
11,16.89,200,22.279,22.279,44,50.832,std,static
12,18.5,200,237.531,237.531,53,881,mean,static
12,17.62,200,25.811,25.811,44,50.832,std,static
13,18.31,200,222.938,222.938,53,881,mean,static
13,17.62,200,22.03,22.03,44,50.832,std,static
14,18.16,200,210.406,210.406,53,881,mean,static
14,17.43,200,19.556,19.556,44,50.832,std,static
15,18.0,200,193.438,193.438,53,881,mean,static
15,17.93,200,23.267,23.267,44,50.832,std,static
16,17.22,200,181.375,181.375,53,881,mean,static
16,17.5,200,21.991,21.991,44,50.832,std,static
17,16.44,200,170.0,170.0,53,881,mean,static
17,16.35,200,25.7,25.7,44,50.832,std,static
0,5.0,200,0.0,0.0,47,825,mean,dynamic
